danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.582,0.819,9,-8.092,0,0.0345,0.000283,0.0167,0.0996,0.394,119.513,audio_features,0R9GrbRcpBRdwDlVPj2wEQ,spotify:track:0R9GrbRcpBRdwDlVPj2wEQ,https://api.spotify.com/v1/tracks/0R9GrbRcpBRdwDlVPj2wEQ,https://api.spotify.com/v1/audio-analysis/0R9GrbRcpBRdwDlVPj2wEQ,407773,4
0.721,0.85,9,-8.214,1,0.0331,0.19,0.00386,0.078,0.873,142.082,audio_features,7w4ojcH8NJ4LBmJZhSBTcT,spotify:track:7w4ojcH8NJ4LBmJZhSBTcT,https://api.spotify.com/v1/tracks/7w4ojcH8NJ4LBmJZhSBTcT,https://api.spotify.com/v1/audio-analysis/7w4ojcH8NJ4LBmJZhSBTcT,274000,4
0.156,0.242,2,-10.525,1,0.0314,0.901,0.868,0.119,0.0387,173.059,audio_features,6Rrzqp3mp0Gh613Tg2XlNI,spotify:track:6Rrzqp3mp0Gh613Tg2XlNI,https://api.spotify.com/v1/tracks/6Rrzqp3mp0Gh613Tg2XlNI,https://api.spotify.com/v1/audio-analysis/6Rrzqp3mp0Gh613Tg2XlNI,277913,3
0.388,0.356,5,-11.187,0,0.0348,0.00216,0.0762,0.139,0.338,118.199,audio_features,3Wunwn44wcWRNB4zb03AvA,spotify:track:3Wunwn44wcWRNB4zb03AvA,https://api.spotify.com/v1/tracks/3Wunwn44wcWRNB4zb03AvA,https://api.spotify.com/v1/audio-analysis/3Wunwn44wcWRNB4zb03AvA,444800,3
0.654,0.743,10,-7.44,0,0.0605,0.0125,0.0272,0.153,0.632,114.846,audio_features,3ix6K4wZY29bCujrSznwFZ,spotify:track:3ix6K4wZY29bCujrSznwFZ,https://api.spotify.com/v1/tracks/3ix6K4wZY29bCujrSznwFZ,https://api.spotify.com/v1/audio-analysis/3ix6K4wZY29bCujrSznwFZ,457676,4
0.336,0.787,10,-8.803,0,0.0732,0.0793,0.0648,0.32,0.383,140.003,audio_features,6i4Qi1mJxXjqNIL9HfJhRs,spotify:track:6i4Qi1mJxXjqNIL9HfJhRs,https://api.spotify.com/v1/tracks/6i4Qi1mJxXjqNIL9HfJhRs,https://api.spotify.com/v1/audio-analysis/6i4Qi1mJxXjqNIL9HfJhRs,462093,4
0.306,0.253,8,-11.177,1,0.0294,0.728,4.89e-05,0.138,0.171,83.175,audio_features,1Gv6f7m5ZNDcInxGA8PsLS,spotify:track:1Gv6f7m5ZNDcInxGA8PsLS,https://api.spotify.com/v1/tracks/1Gv6f7m5ZNDcInxGA8PsLS,https://api.spotify.com/v1/audio-analysis/1Gv6f7m5ZNDcInxGA8PsLS,231507,4
0.359,0.762,11,-8.323,1,0.032,0.0105,0.281,0.368,0.167,89.259,audio_features,3s03nrUInN3NAVjQtmnS0O,spotify:track:3s03nrUInN3NAVjQtmnS0O,https://api.spotify.com/v1/tracks/3s03nrUInN3NAVjQtmnS0O,https://api.spotify.com/v1/audio-analysis/3s03nrUInN3NAVjQtmnS0O,563893,4
0.262,0.777,11,-8.671,1,0.0632,0.0109,0.113,0.12,0.264,152.5,audio_features,0rFWuqFgHAfuzE8uSB9TWR,spotify:track:0rFWuqFgHAfuzE8uSB9TWR,https://api.spotify.com/v1/tracks/0rFWuqFgHAfuzE8uSB9TWR,https://api.spotify.com/v1/audio-analysis/0rFWuqFgHAfuzE8uSB9TWR,182733,4
0.251,0.848,5,-6.501,1,0.0579,0.0377,0.00591,0.0545,0.207,163.709,audio_features,6LgJvl0Xdtc73RJ1mmpotq,spotify:track:6LgJvl0Xdtc73RJ1mmpotq,https://api.spotify.com/v1/tracks/6LgJvl0Xdtc73RJ1mmpotq,https://api.spotify.com/v1/audio-analysis/6LgJvl0Xdtc73RJ1mmpotq,387213,4
0.584,0.847,6,-5.688,0,0.0393,0.0597,0.000647,0.0902,0.805,133.087,audio_features,3Jkj0MlvVlggnWnLndsvWb,spotify:track:3Jkj0MlvVlggnWnLndsvWb,https://api.spotify.com/v1/tracks/3Jkj0MlvVlggnWnLndsvWb,https://api.spotify.com/v1/audio-analysis/3Jkj0MlvVlggnWnLndsvWb,311773,4
0.532,0.459,9,-10.329,1,0.0307,0.172,6.61e-05,0.0472,0.597,98.196,audio_features,42dsUTJpzMWUJfEkzsbKWl,spotify:track:42dsUTJpzMWUJfEkzsbKWl,https://api.spotify.com/v1/tracks/42dsUTJpzMWUJfEkzsbKWl,https://api.spotify.com/v1/audio-analysis/42dsUTJpzMWUJfEkzsbKWl,659267,4
0.651,0.894,9,-6.63,0,0.0374,0.193,2.03e-06,0.103,0.865,120.023,audio_features,55G2VJnSHidnQxyr0AaVSk,spotify:track:55G2VJnSHidnQxyr0AaVSk,https://api.spotify.com/v1/tracks/55G2VJnSHidnQxyr0AaVSk,https://api.spotify.com/v1/audio-analysis/55G2VJnSHidnQxyr0AaVSk,233493,4
0.546,0.867,11,-4.235,0,0.0354,0.0256,0.000229,0.221,0.189,127.988,audio_features,64SIlhd3BaHCCMSfajXG7l,spotify:track:64SIlhd3BaHCCMSfajXG7l,https://api.spotify.com/v1/tracks/64SIlhd3BaHCCMSfajXG7l,https://api.spotify.com/v1/audio-analysis/64SIlhd3BaHCCMSfajXG7l,322040,4
0.628,0.762,9,-5.286,1,0.03,0.348,0.0,0.774,0.809,90.012,audio_features,4wXjnoLIMTninCnKRgGsQc,spotify:track:4wXjnoLIMTninCnKRgGsQc,https://api.spotify.com/v1/tracks/4wXjnoLIMTninCnKRgGsQc,https://api.spotify.com/v1/audio-analysis/4wXjnoLIMTninCnKRgGsQc,234986,4
0.43,0.665,4,-9.681,1,0.139,0.406,0.000108,0.409,0.542,160.859,audio_features,3V3MQOlQqq8SZ7BcoN4QCn,spotify:track:3V3MQOlQqq8SZ7BcoN4QCn,https://api.spotify.com/v1/tracks/3V3MQOlQqq8SZ7BcoN4QCn,https://api.spotify.com/v1/audio-analysis/3V3MQOlQqq8SZ7BcoN4QCn,266240,4
0.761,0.807,0,-5.108,1,0.0326,0.17,2.96e-05,0.34,0.847,128.813,audio_features,4F8BhnU4ymPIVQFGK7eJcY,spotify:track:4F8BhnU4ymPIVQFGK7eJcY,https://api.spotify.com/v1/tracks/4F8BhnU4ymPIVQFGK7eJcY,https://api.spotify.com/v1/audio-analysis/4F8BhnU4ymPIVQFGK7eJcY,215507,4
0.558,0.725,9,-8.831,1,0.0588,0.0322,1.78e-05,0.326,0.787,131.177,audio_features,0kl7aqrHR89YHbV6pzXaZO,spotify:track:0kl7aqrHR89YHbV6pzXaZO,https://api.spotify.com/v1/tracks/0kl7aqrHR89YHbV6pzXaZO,https://api.spotify.com/v1/audio-analysis/0kl7aqrHR89YHbV6pzXaZO,306640,4
0.463,0.671,3,-6.438,1,0.0683,0.0626,0.0,0.0947,0.633,84.28,audio_features,5CTAcf8aS0a0sIsDwQRF9C,spotify:track:5CTAcf8aS0a0sIsDwQRF9C,https://api.spotify.com/v1/tracks/5CTAcf8aS0a0sIsDwQRF9C,https://api.spotify.com/v1/audio-analysis/5CTAcf8aS0a0sIsDwQRF9C,180813,4
0.441,0.726,6,-8.659,1,0.0377,0.0855,1.08e-05,0.137,0.328,139.562,audio_features,2lU2VI066HaPGyKTh6ANvI,spotify:track:2lU2VI066HaPGyKTh6ANvI,https://api.spotify.com/v1/tracks/2lU2VI066HaPGyKTh6ANvI,https://api.spotify.com/v1/audio-analysis/2lU2VI066HaPGyKTh6ANvI,246373,4
0.429,0.631,4,-11.514,0,0.0769,7.85e-05,0.00411,0.175,0.376,162.734,audio_features,1jzDzZWeSDBg5fhNc3tczV,spotify:track:1jzDzZWeSDBg5fhNc3tczV,https://api.spotify.com/v1/tracks/1jzDzZWeSDBg5fhNc3tczV,https://api.spotify.com/v1/audio-analysis/1jzDzZWeSDBg5fhNc3tczV,168440,4
0.556,0.393,0,-10.427,1,0.0319,0.649,0.0,0.292,0.604,98.226,audio_features,1gd7Q7mxviLWkG5HgvAMAc,spotify:track:1gd7Q7mxviLWkG5HgvAMAc,https://api.spotify.com/v1/tracks/1gd7Q7mxviLWkG5HgvAMAc,https://api.spotify.com/v1/audio-analysis/1gd7Q7mxviLWkG5HgvAMAc,198040,4
0.738,0.8,11,-3.366,0,0.0283,0.043,0.0543,0.595,0.532,122.858,audio_features,65DBZofI0b79kfHTcWWDuU,spotify:track:65DBZofI0b79kfHTcWWDuU,https://api.spotify.com/v1/tracks/65DBZofI0b79kfHTcWWDuU,https://api.spotify.com/v1/audio-analysis/65DBZofI0b79kfHTcWWDuU,200800,4
0.484,0.609,2,-8.81,1,0.0483,0.448,0.0007,0.0415,0.61,80.483,audio_features,5v2vkoTamoisazJFanHJjk,spotify:track:5v2vkoTamoisazJFanHJjk,https://api.spotify.com/v1/tracks/5v2vkoTamoisazJFanHJjk,https://api.spotify.com/v1/audio-analysis/5v2vkoTamoisazJFanHJjk,517120,3
